id,method,nsnp,b,se,CIlower,CIupper,pval,intercept,intercept_se,inter_CIlower,inter_CIupper,intercept_pval,hetero_Q,hetero_pvale,lo_ci,up_ci,or,or_lci95,or_uci95,fdr,gene,cancer,gene,cell
"POLI_T cell, CD4, memory TREG",Wald_ratio,1,-0.000309005,0.000501501,NA,NA,0.53778963,NA,NA,NA,NA,NA,NA,NA,-0.001291947,0.000673938,0.999691043,0.998708887,1.000674165,0.892620802,POLI,non-melanoma skin cancer,POLI,"T cell, CD4, memory TREG"
"RP11-6L6.2_T cell, CD4, TFH",Wald_ratio,1,0.000966112,0.000486989,NA,NA,0.047272961,NA,NA,NA,NA,NA,NA,NA,1.16E-05,0.001920611,1.000966579,1.000011613,1.001922457,0.341737029,RP11-6L6.2,non-melanoma skin cancer,RP11-6L6.2,"T cell, CD4, TFH"
"RP11-6L6.2_T cell, CD4, naive TREG",Wald_ratio,1,0.00093907,0.000473358,NA,NA,0.047272961,NA,NA,NA,NA,NA,NA,NA,1.13E-05,0.001866852,1.000939511,1.000011288,1.001868595,0.341737029,RP11-6L6.2,non-melanoma skin cancer,RP11-6L6.2,"T cell, CD4, naive TREG"
"RP11-6L6.2_T cell, CD4, TH2",Wald_ratio,1,0.001069633,0.000539171,NA,NA,0.047272961,NA,NA,NA,NA,NA,NA,NA,1.29E-05,0.002126408,1.001070205,1.000012857,1.002128671,0.341737029,RP11-6L6.2,non-melanoma skin cancer,RP11-6L6.2,"T cell, CD4, TH2"
"RP11-6L6.2_T cell, CD4, TH1",Wald_ratio,1,0.001026076,0.000517215,NA,NA,0.047272961,NA,NA,NA,NA,NA,NA,NA,1.23E-05,0.002039818,1.001026602,1.000012334,1.0020419,0.341737029,RP11-6L6.2,non-melanoma skin cancer,RP11-6L6.2,"T cell, CD4, TH1"
"RP11-6L6.2_T cell, CD4, memory TREG",Wald_ratio,1,0.001031195,0.000540482,NA,NA,0.056402033,NA,NA,NA,NA,NA,NA,NA,-2.82E-05,0.00209054,1.001031727,0.99997185,1.002092727,0.377676411,RP11-6L6.2,non-melanoma skin cancer,RP11-6L6.2,"T cell, CD4, memory TREG"
"PLEKHH2_T cell, CD8, naive",Wald_ratio,1,-0.000321837,0.000498686,NA,NA,0.518687682,NA,NA,NA,NA,NA,NA,NA,-0.001299262,0.000655588,0.999678215,0.998701581,1.000655803,0.883878294,PLEKHH2,non-melanoma skin cancer,PLEKHH2,"T cell, CD8, naive"
"PLEKHH2_T cell, CD4, TH2",Wald_ratio,1,-0.000338314,0.000524217,NA,NA,0.518687682,NA,NA,NA,NA,NA,NA,NA,-0.00136578,0.000689152,0.999661743,0.998635152,1.00068939,0.883878294,PLEKHH2,non-melanoma skin cancer,PLEKHH2,"T cell, CD4, TH2"
"PLEKHH2_T cell, CD4, TH17",Wald_ratio,1,-0.000137452,0.000515559,NA,NA,0.789771513,NA,NA,NA,NA,NA,NA,NA,-0.001147948,0.000873044,0.999862558,0.998852711,1.000873425,0.959383777,PLEKHH2,non-melanoma skin cancer,PLEKHH2,"T cell, CD4, TH17"
"L3MBTL3_T cell, CD4, TH1",Wald_ratio,1,-0.001687713,0.000440985,NA,NA,0.000129638,NA,NA,NA,NA,NA,NA,NA,-0.002552043,-0.000823382,0.998313711,0.997451211,0.999176956,0.006769254,L3MBTL3,non-melanoma skin cancer,L3MBTL3,"T cell, CD4, TH1"
"L3MBTL3_T cell, CD4, naive TREG",Wald_ratio,1,-0.001593772,0.000416439,NA,NA,0.000129638,NA,NA,NA,NA,NA,NA,NA,-0.002409992,-0.000777552,0.998407497,0.997592909,0.99922275,0.006769254,L3MBTL3,non-melanoma skin cancer,L3MBTL3,"T cell, CD4, naive TREG"
"L3MBTL3_Monocyte, classical",Wald_ratio,1,-0.001770936,0.00046273,NA,NA,0.000129638,NA,NA,NA,NA,NA,NA,NA,-0.002677888,-0.000863985,0.998230631,0.997325695,0.999136388,0.006769254,L3MBTL3,non-melanoma skin cancer,L3MBTL3,"Monocyte, classical"
"L3MBTL3_T cell, CD4, TFH",Wald_ratio,1,-0.001658478,0.000433346,NA,NA,0.000129638,NA,NA,NA,NA,NA,NA,NA,-0.002507836,-0.00080912,0.998342897,0.997495306,0.999191207,0.006769254,L3MBTL3,non-melanoma skin cancer,L3MBTL3,"T cell, CD4, TFH"
"L3MBTL3_T cell, CD4, TH2",Wald_ratio,1,-0.001648226,0.000430667,NA,NA,0.000129638,NA,NA,NA,NA,NA,NA,NA,-0.002492334,-0.000804118,0.998353132,0.99751077,0.999196205,0.006769254,L3MBTL3,non-melanoma skin cancer,L3MBTL3,"T cell, CD4, TH2"
"L3MBTL3_T cell, CD4, naive",Wald_ratio,1,-0.001610309,0.00042076,NA,NA,0.000129638,NA,NA,NA,NA,NA,NA,NA,-0.002434998,-0.000785619,0.998390987,0.997567964,0.999214689,0.006769254,L3MBTL3,non-melanoma skin cancer,L3MBTL3,"T cell, CD4, naive"
"L3MBTL3_T cell, CD4, TH1 TH17",Wald_ratio,1,-0.001710749,0.000447004,NA,NA,0.000129638,NA,NA,NA,NA,NA,NA,NA,-0.002586877,-0.000834621,0.998290713,0.997416466,0.999165727,0.006769254,L3MBTL3,non-melanoma skin cancer,L3MBTL3,"T cell, CD4, TH1 TH17"
"L3MBTL3_NK cell, CD56dim CD16+",Wald_ratio,1,-0.001985656,0.000518835,NA,NA,0.000129638,NA,NA,NA,NA,NA,NA,NA,-0.003002573,-0.00096874,0.998016314,0.99700193,0.999031729,0.006769254,L3MBTL3,non-melanoma skin cancer,L3MBTL3,"NK cell, CD56dim CD16+"
"L3MBTL3_T cell, CD4, TH17",Wald_ratio,1,-0.001653077,0.000431935,NA,NA,0.000129638,NA,NA,NA,NA,NA,NA,NA,-0.002499669,-0.000806485,0.998348289,0.997503453,0.99919384,0.006769254,L3MBTL3,non-melanoma skin cancer,L3MBTL3,"T cell, CD4, TH17"
"L3MBTL3_T cell, CD4, memory TREG",Wald_ratio,1,-0.001581401,0.000413206,NA,NA,0.000129638,NA,NA,NA,NA,NA,NA,NA,-0.002391286,-0.000771516,0.998419849,0.997611571,0.999228781,0.006769254,L3MBTL3,non-melanoma skin cancer,L3MBTL3,"T cell, CD4, memory TREG"
"L3MBTL3_T cell, CD8, naive",Wald_ratio,1,-0.00158926,0.00041526,NA,NA,0.000129638,NA,NA,NA,NA,NA,NA,NA,-0.00240317,-0.000775351,0.998412002,0.997599715,0.99922495,0.006769254,L3MBTL3,non-melanoma skin cancer,L3MBTL3,"T cell, CD8, naive"
"L3MBTL3_B cell, naive",Wald_ratio,1,-0.001707711,0.00044621,NA,NA,0.000129638,NA,NA,NA,NA,NA,NA,NA,-0.002582283,-0.000833139,0.998293747,0.997421049,0.999167208,0.006769254,L3MBTL3,non-melanoma skin cancer,L3MBTL3,"B cell, naive"
"AP003774.1_T cell, CD8, naive",Wald_ratio,1,0.003426396,0.000472819,NA,NA,4.27E-13,NA,NA,NA,NA,NA,NA,NA,0.00249967,0.004353121,1.003432272,1.002502797,1.00436261,1.67E-10,AP003774.1,non-melanoma skin cancer,AP003774.1,"T cell, CD8, naive"
"AP003774.1_NK cell, CD56dim CD16+",Wald_ratio,1,0.00352636,0.000486614,NA,NA,4.27E-13,NA,NA,NA,NA,NA,NA,NA,0.002572597,0.004480122,1.003532585,1.002575909,1.004490173,1.67E-10,AP003774.1,non-melanoma skin cancer,AP003774.1,"NK cell, CD56dim CD16+"
"AP003774.1_T cell, CD4, naive",Wald_ratio,1,0.003684758,0.000508471,NA,NA,4.27E-13,NA,NA,NA,NA,NA,NA,NA,0.002688154,0.004681362,1.003691555,1.00269177,1.004692336,1.67E-10,AP003774.1,non-melanoma skin cancer,AP003774.1,"T cell, CD4, naive"
"AP003774.1_T cell, CD4, TH2",Wald_ratio,1,0.003406944,0.000470135,NA,NA,4.27E-13,NA,NA,NA,NA,NA,NA,NA,0.00248548,0.004328409,1.003412754,1.002488571,1.00433779,1.67E-10,AP003774.1,non-melanoma skin cancer,AP003774.1,"T cell, CD4, TH2"
"AP003774.1_B cell, naive",Wald_ratio,1,0.003678904,0.000507664,NA,NA,4.27E-13,NA,NA,NA,NA,NA,NA,NA,0.002683883,0.004673924,1.003685679,1.002687488,1.004684864,1.67E-10,AP003774.1,non-melanoma skin cancer,AP003774.1,"B cell, naive"
"AP003774.1_T cell, CD4, TFH",Wald_ratio,1,0.00358481,0.000494679,NA,NA,4.27E-13,NA,NA,NA,NA,NA,NA,NA,0.002615238,0.004554381,1.003591243,1.002618661,1.004564768,1.67E-10,AP003774.1,non-melanoma skin cancer,AP003774.1,"T cell, CD4, TFH"
"AP003774.1_T cell, CD4, TH1 TH17",Wald_ratio,1,0.003300838,0.000455493,NA,NA,4.27E-13,NA,NA,NA,NA,NA,NA,NA,0.002408072,0.004193604,1.003306292,1.002410973,1.00420241,1.67E-10,AP003774.1,non-melanoma skin cancer,AP003774.1,"T cell, CD4, TH1 TH17"
"AC021860.1_T cell, CD4, memory TREG",Wald_ratio,1,-0.001248055,0.000445004,NA,NA,0.005038061,NA,NA,NA,NA,NA,NA,NA,-0.002120263,-0.000375846,0.998752724,0.997881983,0.999624224,0.105741639,AC021860.1,non-melanoma skin cancer,AC021860.1,"T cell, CD4, memory TREG"
"AC021860.1_T cell, CD4, TH1 TH17",Wald_ratio,1,-0.001313624,0.000468384,NA,NA,0.005038061,NA,NA,NA,NA,NA,NA,NA,-0.002231656,-0.000395592,0.998687238,0.997770832,0.999604486,0.105741639,AC021860.1,non-melanoma skin cancer,AC021860.1,"T cell, CD4, TH1 TH17"
"AC021860.1_T cell, CD4, naive TREG",Wald_ratio,1,-0.001287092,0.000458923,NA,NA,0.005038061,NA,NA,NA,NA,NA,NA,NA,-0.002186581,-0.000387602,0.998713736,0.997815807,0.999612473,0.105741639,AC021860.1,non-melanoma skin cancer,AC021860.1,"T cell, CD4, naive TREG"
"AC021860.1_T cell, CD4, TH17",Wald_ratio,1,-0.001246098,0.000444307,NA,NA,0.005038061,NA,NA,NA,NA,NA,NA,NA,-0.002116939,-0.000375257,0.998754678,0.9978853,0.999624813,0.105741639,AC021860.1,non-melanoma skin cancer,AC021860.1,"T cell, CD4, TH17"
"PLEKHH2_T cell, CD4, TH1 TH17",Wald_ratio,1,-0.000433936,0.0005385,NA,NA,0.420344557,NA,NA,NA,NA,NA,NA,NA,-0.001489396,0.000621524,0.999566158,0.998511713,1.000621717,0.835113934,PLEKHH2,non-melanoma skin cancer,PLEKHH2,"T cell, CD4, TH1 TH17"
"PLEKHH2_T cell, CD4, TFH",Wald_ratio,1,-0.000383826,0.000476315,NA,NA,0.420344557,NA,NA,NA,NA,NA,NA,NA,-0.001317402,0.000549751,0.999616248,0.998683465,1.000549902,0.835113934,PLEKHH2,non-melanoma skin cancer,PLEKHH2,"T cell, CD4, TFH"
"GGCX_T cell, CD4, TH1",Wald_ratio,1,0.000173357,0.000459699,NA,NA,0.706092029,NA,NA,NA,NA,NA,NA,NA,-0.000727652,0.001074366,1.000173372,0.999272612,1.001074943,0.945486242,GGCX,non-melanoma skin cancer,GGCX,"T cell, CD4, TH1"
"MPHOSPH6_Monocyte, non-classical",Wald_ratio,1,0.001521236,0.000632882,NA,NA,0.016231588,NA,NA,NA,NA,NA,NA,NA,0.000280788,0.002761684,1.001522394,1.000280828,1.002765501,0.193543105,MPHOSPH6,non-melanoma skin cancer,MPHOSPH6,"Monocyte, non-classical"
"AMT_B cell, naive",Wald_ratio,1,0.000326454,0.000672619,NA,NA,0.627429992,NA,NA,NA,NA,NA,NA,NA,-0.00099188,0.001644788,1.000326507,0.999008612,1.001646141,0.922771127,AMT,non-melanoma skin cancer,AMT,"B cell, naive"
"UHRF1BP1_T cell, CD4, TFH",Wald_ratio,1,0.000254724,0.000497906,NA,NA,0.608937082,NA,NA,NA,NA,NA,NA,NA,-0.000721172,0.001230621,1.000254757,0.999279088,1.001231378,0.918939215,UHRF1BP1,non-melanoma skin cancer,UHRF1BP1,"T cell, CD4, TFH"
"UHRF1BP1_T cell, CD4, naive TREG",Wald_ratio,1,0.000279631,0.000546591,NA,NA,0.608937082,NA,NA,NA,NA,NA,NA,NA,-0.000791687,0.001350949,1.00027967,0.999208627,1.001351862,0.918939215,UHRF1BP1,non-melanoma skin cancer,UHRF1BP1,"T cell, CD4, naive TREG"
"UHRF1BP1_T cell, CD4, memory TREG",Wald_ratio,1,0.000261027,0.000510226,NA,NA,0.608937082,NA,NA,NA,NA,NA,NA,NA,-0.000739016,0.00126107,1.000261061,0.999261257,1.001261865,0.918939215,UHRF1BP1,non-melanoma skin cancer,UHRF1BP1,"T cell, CD4, memory TREG"
"SPAG1_Monocyte, non-classical",Wald_ratio,1,-0.005286394,0.000683564,NA,NA,1.05E-14,NA,NA,NA,NA,NA,NA,NA,-0.006626179,-0.003946608,0.994727555,0.993395725,0.996061169,7.57E-12,SPAG1,non-melanoma skin cancer,SPAG1,"Monocyte, non-classical"
"C10orf32_T cell, CD4, naive activated",Wald_ratio,1,-0.001689958,0.000688962,NA,NA,0.014170745,NA,NA,NA,NA,NA,NA,NA,-0.003040324,-0.000339593,0.998311469,0.996964294,0.999660464,0.182234804,C10orf32,non-melanoma skin cancer,C10orf32,"T cell, CD4, naive activated"
"RP11-589M4.2_T cell, CD4, TFH",Wald_ratio,1,0.000733721,0.000630957,NA,NA,0.244881785,NA,NA,NA,NA,NA,NA,NA,-0.000502954,0.001970397,1.000733991,0.999497173,1.001972339,0.693177855,RP11-589M4.2,non-melanoma skin cancer,RP11-589M4.2,"T cell, CD4, TFH"
"MPHOSPH6_B cell, naive",Wald_ratio,1,0.001340638,0.000617556,NA,NA,0.029940456,NA,NA,NA,NA,NA,NA,NA,0.000130228,0.002551047,1.001341537,1.000130237,1.002554303,0.26983703,MPHOSPH6,non-melanoma skin cancer,MPHOSPH6,"B cell, naive"
"RP1-228P16.1_NK cell, CD56dim CD16+",Wald_ratio,1,-0.001701882,0.00063619,NA,NA,0.00747033,NA,NA,NA,NA,NA,NA,NA,-0.002948814,-0.00045495,0.998299566,0.99705553,0.999545154,0.130049391,RP1-228P16.1,non-melanoma skin cancer,RP1-228P16.1,"NK cell, CD56dim CD16+"
"ZFP30_T cell, CD8, naive",Wald_ratio,1,0.000516485,0.000803655,NA,NA,0.520438209,NA,NA,NA,NA,NA,NA,NA,-0.001058679,0.002091649,1.000516618,0.998941881,1.002093838,0.884482001,ZFP30,non-melanoma skin cancer,ZFP30,"T cell, CD8, naive"
"C10orf32_T cell, CD4, naive TREG",Wald_ratio,1,-0.001377761,0.000555657,NA,NA,0.013156028,NA,NA,NA,NA,NA,NA,NA,-0.002466849,-0.000288674,0.998623187,0.997536191,0.999711368,0.175973459,C10orf32,non-melanoma skin cancer,C10orf32,"T cell, CD4, naive TREG"
"TMEM180_T cell, CD4, naive TREG",Wald_ratio,1,-0.002026563,0.000649596,NA,NA,0.001810167,NA,NA,NA,NA,NA,NA,NA,-0.00329977,-0.000753356,0.997975489,0.996705668,0.999246928,0.052460141,TMEM180,non-melanoma skin cancer,TMEM180,"T cell, CD4, naive TREG"
"CCDC53_Monocyte, non-classical",Wald_ratio,1,-6.64E-05,0.000672349,NA,NA,0.921333367,NA,NA,NA,NA,NA,NA,NA,-0.001384202,0.001251408,0.999933605,0.998616755,1.001252191,0.990578794,CCDC53,non-melanoma skin cancer,CCDC53,"Monocyte, non-classical"
"AC021860.1_T cell, CD4, TH1",Wald_ratio,1,-0.001193264,0.000432815,NA,NA,0.005833717,NA,NA,NA,NA,NA,NA,NA,-0.002041581,-0.000344947,0.998807448,0.997960501,0.999655113,0.116102589,AC021860.1,non-melanoma skin cancer,AC021860.1,"T cell, CD4, TH1"
"RP11-617D20.1_T cell, CD4, TH2",Wald_ratio,1,-0.001081295,0.000392202,NA,NA,0.005833717,NA,NA,NA,NA,NA,NA,NA,-0.001850011,-0.000312579,0.998919289,0.998151699,0.99968747,0.116102589,RP11-617D20.1,non-melanoma skin cancer,RP11-617D20.1,"T cell, CD4, TH2"
"RP11-617D20.1_T cell, CD4, naive",Wald_ratio,1,-0.001150835,0.000443939,NA,NA,0.009532938,NA,NA,NA,NA,NA,NA,NA,-0.002020956,-0.000280714,0.998849827,0.997981085,0.999719325,0.14720832,RP11-617D20.1,non-melanoma skin cancer,RP11-617D20.1,"T cell, CD4, naive"
"RP11-617D20.1_T cell, CD4, TH1",Wald_ratio,1,-0.001168291,0.000450673,NA,NA,0.009532938,NA,NA,NA,NA,NA,NA,NA,-0.00205161,-0.000284972,0.998832391,0.997950493,0.999715068,0.14720832,RP11-617D20.1,non-melanoma skin cancer,RP11-617D20.1,"T cell, CD4, TH1"
"NSUN4_T cell, CD4, TH17",Wald_ratio,1,1.79E-05,0.000558829,NA,NA,0.974434416,NA,NA,NA,NA,NA,NA,NA,-0.001077395,0.001113213,1.000017909,0.998923185,1.001113833,0.996589502,NSUN4,non-melanoma skin cancer,NSUN4,"T cell, CD4, TH17"
"RP11-617D20.1_T cell, CD4, TH17",Wald_ratio,1,-0.001154729,0.000408462,NA,NA,0.004698413,NA,NA,NA,NA,NA,NA,NA,-0.001955314,-0.000354143,0.998845938,0.998046596,0.99964592,0.102907254,RP11-617D20.1,non-melanoma skin cancer,RP11-617D20.1,"T cell, CD4, TH17"
"NSUN2_T cell, CD4, TH1 TH17",Wald_ratio,1,0.000971779,0.000470364,NA,NA,0.038827058,NA,NA,NA,NA,NA,NA,NA,4.99E-05,0.001893692,1.000972251,1.000049867,1.001895486,0.312258996,NSUN2,non-melanoma skin cancer,NSUN2,"T cell, CD4, TH1 TH17"
"NSUN2_NK cell, CD56dim CD16+",Wald_ratio,1,0.001034575,0.000500759,NA,NA,0.038827058,NA,NA,NA,NA,NA,NA,NA,5.31E-05,0.002016062,1.00103511,1.000053089,1.002018095,0.312258996,NSUN2,non-melanoma skin cancer,NSUN2,"NK cell, CD56dim CD16+"
"NSUN2_B cell, naive",Wald_ratio,1,0.000898895,0.000435086,NA,NA,0.038827058,NA,NA,NA,NA,NA,NA,NA,4.61E-05,0.001751664,1.000899299,1.000046127,1.001753199,0.312258996,NSUN2,non-melanoma skin cancer,NSUN2,"B cell, naive"
"NSUN2_T cell, CD4, naive",Wald_ratio,1,0.00087417,0.000423119,NA,NA,0.038827058,NA,NA,NA,NA,NA,NA,NA,4.49E-05,0.001703484,1.000874552,1.000044858,1.001704935,0.312258996,NSUN2,non-melanoma skin cancer,NSUN2,"T cell, CD4, naive"
"NSUN2_T cell, CD4, memory TREG",Wald_ratio,1,0.000884052,0.000427902,NA,NA,0.038827058,NA,NA,NA,NA,NA,NA,NA,4.54E-05,0.001722741,1.000884443,1.000045365,1.001724225,0.312258996,NSUN2,non-melanoma skin cancer,NSUN2,"T cell, CD4, memory TREG"
"NSUN2_T cell, CD8, naive",Wald_ratio,1,0.000865228,0.000418791,NA,NA,0.038827058,NA,NA,NA,NA,NA,NA,NA,4.44E-05,0.001686058,1.000865602,1.000044399,1.00168748,0.312258996,NSUN2,non-melanoma skin cancer,NSUN2,"T cell, CD8, naive"
"NSUN2_T cell, CD4, TH2",Wald_ratio,1,0.000940852,0.000455395,NA,NA,0.038827058,NA,NA,NA,NA,NA,NA,NA,4.83E-05,0.001833425,1.000941295,1.00004828,1.001835107,0.312258996,NSUN2,non-melanoma skin cancer,NSUN2,"T cell, CD4, TH2"
"NSUN2_T cell, CD4, TFH",Wald_ratio,1,0.00089975,0.0004355,NA,NA,0.038827058,NA,NA,NA,NA,NA,NA,NA,4.62E-05,0.00175333,1.000900155,1.000046171,1.001754868,0.312258996,NSUN2,non-melanoma skin cancer,NSUN2,"T cell, CD4, TFH"
"NSUN2_T cell, CD4, naive TREG",Wald_ratio,1,0.000882721,0.000427258,NA,NA,0.038827058,NA,NA,NA,NA,NA,NA,NA,4.53E-05,0.001720146,1.000883111,1.000045297,1.001721626,0.312258996,NSUN2,non-melanoma skin cancer,NSUN2,"T cell, CD4, naive TREG"
"L3MBTL3_T cell, CD8, naive activated",Wald_ratio,1,-0.002632163,0.000592467,NA,NA,8.88E-06,NA,NA,NA,NA,NA,NA,NA,-0.003793399,-0.001470927,0.997371298,0.996213787,0.998530154,0.000725692,L3MBTL3,non-melanoma skin cancer,L3MBTL3,"T cell, CD8, naive activated"
"UHRF1BP1_T cell, CD4, naive",Wald_ratio,1,0.000224345,0.000513214,NA,NA,0.662011632,NA,NA,NA,NA,NA,NA,NA,-0.000781555,0.001230245,1.00022437,0.999218751,1.001231002,0.93342309,UHRF1BP1,non-melanoma skin cancer,UHRF1BP1,"T cell, CD4, naive"
"UHRF1BP1_T cell, CD4, TH2",Wald_ratio,1,0.000218614,0.000500104,NA,NA,0.662011632,NA,NA,NA,NA,NA,NA,NA,-0.00076159,0.001198818,1.000218638,0.9992387,1.001199537,0.93342309,UHRF1BP1,non-melanoma skin cancer,UHRF1BP1,"T cell, CD4, TH2"
"UHRF1BP1_T cell, CD8, naive",Wald_ratio,1,0.000307116,0.000702561,NA,NA,0.662011632,NA,NA,NA,NA,NA,NA,NA,-0.001069904,0.001684135,1.000307163,0.998930669,1.001685554,0.93342309,UHRF1BP1,non-melanoma skin cancer,UHRF1BP1,"T cell, CD8, naive"
"TUBA1C_Monocyte, non-classical",Wald_ratio,1,-0.00023519,0.000756468,NA,NA,0.755871991,NA,NA,NA,NA,NA,NA,NA,-0.001717867,0.001247486,0.999764837,0.998283607,1.001248265,0.950808061,TUBA1C,non-melanoma skin cancer,TUBA1C,"Monocyte, non-classical"
"TMEM180_T cell, CD8, naive",Wald_ratio,1,-0.001809861,0.00057782,NA,NA,0.001734868,NA,NA,NA,NA,NA,NA,NA,-0.002942388,-0.000677335,0.998191776,0.997061937,0.999322895,0.050989012,TMEM180,non-melanoma skin cancer,TMEM180,"T cell, CD8, naive"
"TMEM180_NK cell, CD56dim CD16+",Wald_ratio,1,-0.002536072,0.000682244,NA,NA,0.000201403,NA,NA,NA,NA,NA,NA,NA,-0.003873271,-0.001198874,0.997467141,0.996134221,0.998801845,0.009684538,TMEM180,non-melanoma skin cancer,TMEM180,"NK cell, CD56dim CD16+"
"TMEM180_T cell, CD4, naive",Wald_ratio,1,-0.002226283,0.000598906,NA,NA,0.000201403,NA,NA,NA,NA,NA,NA,NA,-0.003400138,-0.001052427,0.997776194,0.996605636,0.998948126,0.009684538,TMEM180,non-melanoma skin cancer,TMEM180,"T cell, CD4, naive"
"TMEM180_T cell, CD4, memory TREG",Wald_ratio,1,-0.002269956,0.000610655,NA,NA,0.000201403,NA,NA,NA,NA,NA,NA,NA,-0.003466839,-0.001073073,0.997732618,0.996539164,0.998927503,0.009684538,TMEM180,non-melanoma skin cancer,TMEM180,"T cell, CD4, memory TREG"
"TMEM180_T cell, CD4, TFH",Wald_ratio,1,-0.002121547,0.00057073,NA,NA,0.000201403,NA,NA,NA,NA,NA,NA,NA,-0.003240178,-0.001002916,0.997880702,0.996765066,0.998997587,0.009684538,TMEM180,non-melanoma skin cancer,TMEM180,"T cell, CD4, TFH"
"DNMT3B_T cell, CD8, naive",Wald_ratio,1,-0.000813012,0.000587859,NA,NA,0.166662897,NA,NA,NA,NA,NA,NA,NA,-0.001965215,0.000339191,0.999187318,0.998036715,1.000339248,0.598686222,DNMT3B,non-melanoma skin cancer,DNMT3B,"T cell, CD8, naive"
"DNMT3B_T cell, CD4, naive",Wald_ratio,1,-0.000745303,0.000538901,NA,NA,0.166662897,NA,NA,NA,NA,NA,NA,NA,-0.001801549,0.000310942,0.999254974,0.998200073,1.000310991,0.598686222,DNMT3B,non-melanoma skin cancer,DNMT3B,"T cell, CD4, naive"
"SLC41A1_T cell, CD4, memory TREG",Wald_ratio,1,-0.001322714,0.000877931,NA,NA,0.131906363,NA,NA,NA,NA,NA,NA,NA,-0.003043458,0.00039803,0.998678161,0.996961169,1.00039811,0.543175391,SLC41A1,non-melanoma skin cancer,SLC41A1,"T cell, CD4, memory TREG"
"SLC41A1_B cell, naive",Wald_ratio,1,-0.001375956,0.000913269,NA,NA,0.131906363,NA,NA,NA,NA,NA,NA,NA,-0.003165964,0.000414052,0.99862499,0.996839043,1.000414138,0.543175391,SLC41A1,non-melanoma skin cancer,SLC41A1,"B cell, naive"
"PM20D1_T cell, CD4, memory TREG",Wald_ratio,1,-4.16E-05,0.000494051,NA,NA,0.932819567,NA,NA,NA,NA,NA,NA,NA,-0.001009988,0.000926693,0.999958353,0.998990522,1.000927122,0.992436698,PM20D1,non-melanoma skin cancer,PM20D1,"T cell, CD4, memory TREG"
"PM20D1_T cell, CD8, naive activated",Wald_ratio,1,-0.000103143,0.000685938,NA,NA,0.880474838,NA,NA,NA,NA,NA,NA,NA,-0.001447582,0.001241296,0.999896863,0.998553465,1.001242067,0.981226598,PM20D1,non-melanoma skin cancer,PM20D1,"T cell, CD8, naive activated"
"PM20D1_T cell, CD4, TH17",Wald_ratio,1,-0.000180863,0.000524171,NA,NA,0.730059517,NA,NA,NA,NA,NA,NA,NA,-0.001208239,0.000846512,0.999819153,0.99879249,1.000846871,0.94863592,PM20D1,non-melanoma skin cancer,PM20D1,"T cell, CD4, TH17"
"PM20D1_T cell, CD4, naive activated",Wald_ratio,1,-0.000223691,0.000648294,NA,NA,0.730059517,NA,NA,NA,NA,NA,NA,NA,-0.001494348,0.001046965,0.999776334,0.998506768,1.001047513,0.94863592,PM20D1,non-melanoma skin cancer,PM20D1,"T cell, CD4, naive activated"
"PM20D1_B cell, naive",Wald_ratio,1,-0.000176932,0.000512778,NA,NA,0.730059517,NA,NA,NA,NA,NA,NA,NA,-0.001181976,0.000828112,0.999823084,0.998818722,1.000828455,0.94863592,PM20D1,non-melanoma skin cancer,PM20D1,"B cell, naive"
"SLC41A1_NK cell, CD56dim CD16+",Wald_ratio,1,-0.000321217,0.00062377,NA,NA,0.60658055,NA,NA,NA,NA,NA,NA,NA,-0.001543806,0.000901372,0.999678835,0.998457385,1.000901779,0.917858437,SLC41A1,non-melanoma skin cancer,SLC41A1,"NK cell, CD56dim CD16+"
"SLC41A1_T cell, CD4, TH17",Wald_ratio,1,-0.000328789,0.000638475,NA,NA,0.60658055,NA,NA,NA,NA,NA,NA,NA,-0.0015802,0.000922621,0.999671265,0.998421048,1.000923047,0.917858437,SLC41A1,non-melanoma skin cancer,SLC41A1,"T cell, CD4, TH17"
"SLC41A1_T cell, CD8, naive",Wald_ratio,1,0.000156047,0.000593373,NA,NA,0.792563617,NA,NA,NA,NA,NA,NA,NA,-0.001006964,0.001319058,1.000156059,0.998993543,1.001319928,0.959437369,SLC41A1,non-melanoma skin cancer,SLC41A1,"T cell, CD8, naive"
"SLC41A1_Monocyte, non-classical",Wald_ratio,1,0.000175477,0.000667256,NA,NA,0.792563617,NA,NA,NA,NA,NA,NA,NA,-0.001132345,0.001483299,1.000175492,0.998868296,1.001484399,0.959437369,SLC41A1,non-melanoma skin cancer,SLC41A1,"Monocyte, non-classical"
"ZSCAN23_B cell, naive",Wald_ratio,1,0.000907896,0.000533301,NA,NA,0.088678956,NA,NA,NA,NA,NA,NA,NA,-0.000137374,0.001953167,1.000908309,0.999862635,1.001955076,0.472964807,ZSCAN23,non-melanoma skin cancer,ZSCAN23,"B cell, naive"
"RP11-6L6.2_T cell, CD4, naive",Wald_ratio,1,0.000924182,0.000474376,NA,NA,0.051390247,NA,NA,NA,NA,NA,NA,NA,-5.59E-06,0.001853958,1.000924609,0.999994406,1.001855677,0.357707197,RP11-6L6.2,non-melanoma skin cancer,RP11-6L6.2,"T cell, CD4, naive"
