id,gene,cell,method,nsnp,b,se,CIlower,CIupper,pval,intercept,intercept_se,inter_CIlower,inter_CIupper,intercept_pval,hetero_Q,hetero_pvale,lo_ci,up_ci,or,or_lci95,or_uci95,fdr,cancer,cancerid,match,PPH4,ldcheck
"HCG27_NK cell, CD56dim CD16+",HCG27,"NK cell, CD56dim CD16+",Wald_ratio,1,-0.002953184,0.000638595,NA,NA,3.75E-06,NA,NA,NA,NA,NA,NA,NA,-0.004204831,-0.001701538,0.997051172,0.995803997,0.998299909,0.000337617,non-melanoma skin cancer,ieu-b-4959,"HCG27_NK cell, CD56dim CD16+_non-melanoma skin cancer_ieu-b-4959",4.50E-10,0.969061079
"HCG27_T cell, CD4, TH17",HCG27,"T cell, CD4, TH17",Wald_ratio,1,-0.003116264,0.000673859,NA,NA,3.75E-06,NA,NA,NA,NA,NA,NA,NA,-0.004437029,-0.0017955,0.996888586,0.9955728,0.998206111,0.000337617,non-melanoma skin cancer,ieu-b-4959,"HCG27_T cell, CD4, TH17_non-melanoma skin cancer_ieu-b-4959",5.08E-10,0.969061079
"HCG27_T cell, CD4, memory TREG",HCG27,"T cell, CD4, memory TREG",Wald_ratio,1,-0.002757825,0.000661356,NA,NA,3.05E-05,NA,NA,NA,NA,NA,NA,NA,-0.004054083,-0.001461566,0.997245975,0.995954124,0.998539501,0.001961584,non-melanoma skin cancer,ieu-b-4959,"HCG27_T cell, CD4, memory TREG_non-melanoma skin cancer_ieu-b-4959",1.26E-08,1
"HLA-DRB6_Monocyte, classical",HLA-DRB6,"Monocyte, classical",Wald_ratio,1,-0.002863132,0.000442196,NA,NA,9.49E-11,NA,NA,NA,NA,NA,NA,NA,-0.003729837,-0.001996427,0.997140963,0.99627711,0.998005565,2.06E-08,non-melanoma skin cancer,ieu-b-4959,"HLA-DRB6_Monocyte, classical_non-melanoma skin cancer_ieu-b-4959",5.48E-21,0.94035106
"HLA-DRB6_T cell, CD4, TH1 TH17",HLA-DRB6,"T cell, CD4, TH1 TH17",Wald_ratio,1,-0.004415317,0.000681924,NA,NA,9.49E-11,NA,NA,NA,NA,NA,NA,NA,-0.005751887,-0.003078746,0.995594417,0.994264624,0.996925988,2.06E-08,non-melanoma skin cancer,ieu-b-4959,"HLA-DRB6_T cell, CD4, TH1 TH17_non-melanoma skin cancer_ieu-b-4959",2.79E-06,0.963444329
"HLA-DRB1_T cell, CD8, naive activated",HLA-DRB1,"T cell, CD8, naive activated",Wald_ratio,1,0.004341898,0.000605649,NA,NA,7.55E-13,NA,NA,NA,NA,NA,NA,NA,0.003154826,0.005528971,1.004351338,1.003159807,1.005544284,2.44E-10,non-melanoma skin cancer,ieu-b-4959,"HLA-DRB1_T cell, CD8, naive activated_non-melanoma skin cancer_ieu-b-4959",1.63E-13,0.863704433
"HLA-DQB2_T cell, CD4, TH17",HLA-DQB2,"T cell, CD4, TH17",Wald_ratio,1,-0.003791253,0.000523114,NA,NA,4.25E-13,NA,NA,NA,NA,NA,NA,NA,-0.004816558,-0.002765949,0.996215924,0.995195023,0.997237873,1.67E-10,non-melanoma skin cancer,ieu-b-4959,"HLA-DQB2_T cell, CD4, TH17_non-melanoma skin cancer_ieu-b-4959",1.15E-12,0.936869126
"HLA-DQB2_T cell, CD4, TH2",HLA-DQB2,"T cell, CD4, TH2",Wald_ratio,1,-0.003819888,0.000527065,NA,NA,4.25E-13,NA,NA,NA,NA,NA,NA,NA,-0.004852936,-0.00278684,0.996187399,0.99515882,0.99721704,1.67E-10,non-melanoma skin cancer,ieu-b-4959,"HLA-DQB2_T cell, CD4, TH2_non-melanoma skin cancer_ieu-b-4959",3.87E-07,0.936869126
"HLA-DQA2_T cell, CD4, TH17",HLA-DQA2,"T cell, CD4, TH17",Wald_ratio,1,-0.003586369,0.000579597,NA,NA,6.11E-10,NA,NA,NA,NA,NA,NA,NA,-0.00472238,-0.002450358,0.996420054,0.995288753,0.997552642,1.22E-07,non-melanoma skin cancer,ieu-b-4959,"HLA-DQA2_T cell, CD4, TH17_non-melanoma skin cancer_ieu-b-4959",1.15E-12,0.934636499
"HLA-DQA2_Monocyte, non-classical",HLA-DQA2,"Monocyte, non-classical",Wald_ratio,1,-0.002935566,0.00047442,NA,NA,6.11E-10,NA,NA,NA,NA,NA,NA,NA,-0.00386543,-0.002005702,0.997068738,0.996142031,0.997996308,1.22E-07,non-melanoma skin cancer,ieu-b-4959,"HLA-DQA2_Monocyte, non-classical_non-melanoma skin cancer_ieu-b-4959",6.15E-21,0.934636499
"HLA-DQA2_T cell, CD4, naive activated",HLA-DQA2,"T cell, CD4, naive activated",Wald_ratio,1,-0.00398716,0.00064437,NA,NA,6.11E-10,NA,NA,NA,NA,NA,NA,NA,-0.005250125,-0.002724196,0.996020778,0.994763633,0.997279512,1.22E-07,non-melanoma skin cancer,ieu-b-4959,"HLA-DQA2_T cell, CD4, naive activated_non-melanoma skin cancer_ieu-b-4959",8.99E-14,0.934636499
"HLA-DQA2_NK cell, CD56dim CD16+",HLA-DQA2,"NK cell, CD56dim CD16+",Wald_ratio,1,-0.003508509,0.000567014,NA,NA,6.11E-10,NA,NA,NA,NA,NA,NA,NA,-0.004619858,-0.002397161,0.996497638,0.995390797,0.99760571,1.22E-07,non-melanoma skin cancer,ieu-b-4959,"HLA-DQA2_NK cell, CD56dim CD16+_non-melanoma skin cancer_ieu-b-4959",1.02E-13,0.934636499
"HLA-DQA2_T cell, CD8, naive",HLA-DQA2,"T cell, CD8, naive",Wald_ratio,1,-0.003617441,0.000584619,NA,NA,6.11E-10,NA,NA,NA,NA,NA,NA,NA,-0.004763294,-0.002471588,0.996389094,0.995248032,0.997531464,1.22E-07,non-melanoma skin cancer,ieu-b-4959,"HLA-DQA2_T cell, CD8, naive_non-melanoma skin cancer_ieu-b-4959",6.54E-06,0.934636499
"HLA-DQA2_Monocyte, classical",HLA-DQA2,"Monocyte, classical",Wald_ratio,1,-0.002941688,0.00047541,NA,NA,6.11E-10,NA,NA,NA,NA,NA,NA,NA,-0.003873491,-0.002009885,0.997062635,0.996134002,0.997992134,1.22E-07,non-melanoma skin cancer,ieu-b-4959,"HLA-DQA2_Monocyte, classical_non-melanoma skin cancer_ieu-b-4959",5.48E-21,0.934636499
"HLA-DQA2_T cell, CD4, TH2",HLA-DQA2,"T cell, CD4, TH2",Wald_ratio,1,-0.004084158,0.000565207,NA,NA,4.98E-13,NA,NA,NA,NA,NA,NA,NA,-0.005191964,-0.002976351,0.995924171,0.994821491,0.997028074,1.68E-10,non-melanoma skin cancer,ieu-b-4959,"HLA-DQA2_T cell, CD4, TH2_non-melanoma skin cancer_ieu-b-4959",3.87E-07,0.867343904
"HLA-DRB6_T cell, CD8, naive",HLA-DRB6,"T cell, CD8, naive",Wald_ratio,1,-0.00317133,0.000623781,NA,NA,3.69E-07,NA,NA,NA,NA,NA,NA,NA,-0.00439394,-0.001948719,0.996833694,0.995615699,0.998053178,5.85E-05,non-melanoma skin cancer,ieu-b-4959,"HLA-DRB6_T cell, CD8, naive_non-melanoma skin cancer_ieu-b-4959",6.56E-06,0.821131383
"HLA-DQB2_T cell, CD4, TFH",HLA-DQB2,"T cell, CD4, TFH",Wald_ratio,1,-0.003080493,0.000623384,NA,NA,7.75E-07,NA,NA,NA,NA,NA,NA,NA,-0.004302326,-0.00185866,0.996924247,0.995706916,0.998143066,0.000103533,non-melanoma skin cancer,ieu-b-4959,"HLA-DQB2_T cell, CD4, TFH_non-melanoma skin cancer_ieu-b-4959",8.27E-06,0.909990076
"HLA-DQB1_NK cell, CD56dim CD16+",HLA-DQB1,"NK cell, CD56dim CD16+",Wald_ratio,1,0.001810066,0.000373377,NA,NA,1.25E-06,NA,NA,NA,NA,NA,NA,NA,0.001078247,0.002541886,1.001811705,1.001078828,1.002545119,0.000147032,non-melanoma skin cancer,ieu-b-4959,"HLA-DQB1_NK cell, CD56dim CD16+_non-melanoma skin cancer_ieu-b-4959",1.02E-13,0.844737457
"HLA-DQB1-AS1_T cell, CD4, memory TREG",HLA-DQB1-AS1,"T cell, CD4, memory TREG",Wald_ratio,1,0.001765485,0.000364181,NA,NA,1.25E-06,NA,NA,NA,NA,NA,NA,NA,0.00105169,0.002479279,1.001767044,1.001052243,1.002482355,0.000147032,non-melanoma skin cancer,ieu-b-4959,"HLA-DQB1-AS1_T cell, CD4, memory TREG_non-melanoma skin cancer_ieu-b-4959",2.75E-10,0.844737457
"HLA-DQB1_T cell, CD8, naive activated",HLA-DQB1,"T cell, CD8, naive activated",Wald_ratio,1,0.0019035,0.000392651,NA,NA,1.25E-06,NA,NA,NA,NA,NA,NA,NA,0.001133905,0.002673096,1.001905313,1.001134548,1.002676672,0.000147032,non-melanoma skin cancer,ieu-b-4959,"HLA-DQB1_T cell, CD8, naive activated_non-melanoma skin cancer_ieu-b-4959",1.63E-13,0.844737457
"HLA-DQB1-AS1_T cell, CD4, naive",HLA-DQB1-AS1,"T cell, CD4, naive",Wald_ratio,1,0.001797894,0.000370866,NA,NA,1.25E-06,NA,NA,NA,NA,NA,NA,NA,0.001070996,0.002524792,1.001799511,1.00107157,1.002527982,0.000147032,non-melanoma skin cancer,ieu-b-4959,"HLA-DQB1-AS1_T cell, CD4, naive_non-melanoma skin cancer_ieu-b-4959",1.39E-13,0.844737457
"HLA-DQB1_T cell, CD4, naive",HLA-DQB1,"T cell, CD4, naive",Wald_ratio,1,0.001797448,0.000370774,NA,NA,1.25E-06,NA,NA,NA,NA,NA,NA,NA,0.00107073,0.002524165,1.001799064,1.001071304,1.002527354,0.000147032,non-melanoma skin cancer,ieu-b-4959,"HLA-DQB1_T cell, CD4, naive_non-melanoma skin cancer_ieu-b-4959",1.39E-13,0.844737457
"HLA-DQB1-AS1_NK cell, CD56dim CD16+",HLA-DQB1-AS1,"NK cell, CD56dim CD16+",Wald_ratio,1,0.001908915,0.000393768,NA,NA,1.25E-06,NA,NA,NA,NA,NA,NA,NA,0.001137131,0.0026807,1.001910739,1.001137778,1.002684296,0.000147032,non-melanoma skin cancer,ieu-b-4959,"HLA-DQB1-AS1_NK cell, CD56dim CD16+_non-melanoma skin cancer_ieu-b-4959",1.02E-13,0.844737457
"HLA-DQB1_T cell, CD4, memory TREG",HLA-DQB1,"T cell, CD4, memory TREG",Wald_ratio,1,0.001814123,0.000374214,NA,NA,1.25E-06,NA,NA,NA,NA,NA,NA,NA,0.001080664,0.002547583,1.00181577,1.001081248,1.002550831,0.000147032,non-melanoma skin cancer,ieu-b-4959,"HLA-DQB1_T cell, CD4, memory TREG_non-melanoma skin cancer_ieu-b-4959",2.75E-10,0.844737457
"HLA-DQB1-AS1_T cell, CD4, TH2",HLA-DQB1-AS1,"T cell, CD4, TH2",Wald_ratio,1,0.007093593,0.000873938,NA,NA,4.79E-16,NA,NA,NA,NA,NA,NA,NA,0.005380676,0.008806511,1.007118812,1.005395178,1.008845402,3.64E-13,non-melanoma skin cancer,ieu-b-4959,"HLA-DQB1-AS1_T cell, CD4, TH2_non-melanoma skin cancer_ieu-b-4959",3.87E-07,0.906389682
XXbac-BPG299F13.17_B_CELL_NAIVE,XXbac-BPG299F13.17,B,Wald_ratio,1,0.002923469,0.000726921,NA,NA,5.78E-05,NA,NA,NA,NA,NA,NA,NA,0.001498703,0.004348235,1.002927746,1.001499826,1.004357702,0.003568767,non-melanoma skin cancer,ieu-b-4959,XXbac-BPG299F13.17_B_CELL_NAIVE_non-melanoma skin cancer_ieu-b-4959,1.03E-07,1
"HCG27_T cell, CD4, TFH",HCG27,"T cell, CD4, TFH",Wald_ratio,1,-0.002667938,0.000663384,NA,NA,5.78E-05,NA,NA,NA,NA,NA,NA,NA,-0.003968169,-0.001367706,0.997335618,0.996039693,0.998633229,0.003568767,non-melanoma skin cancer,ieu-b-4959,"HCG27_T cell, CD4, TFH_non-melanoma skin cancer_ieu-b-4959",1.13E-08,1
"PCGF3_T cell, CD8, naive activated",PCGF3,"T cell, CD8, naive activated",Wald_ratio,1,0.001948601,0.000569921,NA,NA,0.000628346,NA,NA,NA,NA,NA,NA,NA,0.000831556,0.003065645,1.0019505,1.000831902,1.003070349,0.024049679,non-melanoma skin cancer,ieu-b-4959,"PCGF3_T cell, CD8, naive activated_non-melanoma skin cancer_ieu-b-4959",0.085889522,1
"PSORS1C3_T cell, CD4, TFH",PSORS1C3,"T cell, CD4, TFH",Wald_ratio,1,-0.004470159,0.000763984,NA,NA,4.88E-09,NA,NA,NA,NA,NA,NA,NA,-0.005967568,-0.00297275,0.995539817,0.994050202,0.997031664,8.83E-07,non-melanoma skin cancer,ieu-b-4959,"PSORS1C3_T cell, CD4, TFH_non-melanoma skin cancer_ieu-b-4959",1.13E-08,1
"USP49_Monocyte, classical",USP49,"Monocyte, classical",Wald_ratio,1,-0.002739509,0.000672019,NA,NA,4.57E-05,NA,NA,NA,NA,NA,NA,NA,-0.004056665,-0.001422353,0.99726424,0.995951552,0.998578658,0.002894093,non-melanoma skin cancer,ieu-b-4959,"USP49_Monocyte, classical_non-melanoma skin cancer_ieu-b-4959",0.498517281,0.994683086
"CENPW_T cell, CD8, naive activated",CENPW,"T cell, CD8, naive activated",Wald_ratio,1,0.00226249,0.000619713,NA,NA,0.000261357,NA,NA,NA,NA,NA,NA,NA,0.001047852,0.003477128,1.002265052,1.001048402,1.003483181,0.012371725,non-melanoma skin cancer,ieu-b-4959,"CENPW_T cell, CD8, naive activated_non-melanoma skin cancer_ieu-b-4959",0.248167732,0.965447735
"CCND1_T cell, CD4, naive",CCND1,"T cell, CD4, naive",Wald_ratio,1,0.002999709,0.000757173,NA,NA,7.44E-05,NA,NA,NA,NA,NA,NA,NA,0.00151565,0.004483769,1.003004213,1.001516799,1.004493836,0.004299172,non-melanoma skin cancer,ieu-b-4959,"CCND1_T cell, CD4, naive_non-melanoma skin cancer_ieu-b-4959",0.389292832,1
LIMA1_B_CELL_NAIVE,LIMA1,B,Wald_ratio,1,-0.002582399,0.000723325,NA,NA,0.000356736,NA,NA,NA,NA,NA,NA,NA,-0.004000115,-0.001164683,0.997420932,0.996007874,0.998835995,0.01632712,non-melanoma skin cancer,ieu-b-4959,LIMA1_B_CELL_NAIVE_non-melanoma skin cancer_ieu-b-4959,0.104037858,0.995600849
"FXYD7_NK cell, CD56dim CD16+",FXYD7,"NK cell, CD56dim CD16+",Wald_ratio,1,-0.002524562,0.000727182,NA,NA,0.000517161,NA,NA,NA,NA,NA,NA,NA,-0.003949839,-0.001099286,0.997478622,0.996057951,0.998901318,0.021412177,non-melanoma skin cancer,ieu-b-4959,"FXYD7_NK cell, CD56dim CD16+_non-melanoma skin cancer_ieu-b-4959",0.111476313,0.987286666
"RP11-178C3.2_T cell, CD4, TH1",RP11-178C3.2,"T cell, CD4, TH1",Wald_ratio,1,0.002368103,0.00062227,NA,NA,0.000141467,NA,NA,NA,NA,NA,NA,NA,0.001148454,0.003587751,1.002370909,1.001149114,1.003594195,0.007189293,non-melanoma skin cancer,ieu-b-4959,"RP11-178C3.2_T cell, CD4, TH1_non-melanoma skin cancer_ieu-b-4959",0.287649558,0.994385902
"RP11-178C3.2_T cell, CD8, naive activated",RP11-178C3.2,"T cell, CD8, naive activated",Wald_ratio,1,0.002609809,0.000685783,NA,NA,0.000141467,NA,NA,NA,NA,NA,NA,NA,0.001265674,0.003953945,1.002613218,1.001266475,1.003961772,0.007189293,non-melanoma skin cancer,ieu-b-4959,"RP11-178C3.2_T cell, CD8, naive activated_non-melanoma skin cancer_ieu-b-4959",0.306224237,0.994385902
"RP11-178C3.2_T cell, CD4, TH2",RP11-178C3.2,"T cell, CD4, TH2",Wald_ratio,1,0.002769679,0.000727793,NA,NA,0.000141467,NA,NA,NA,NA,NA,NA,NA,0.001343205,0.004196152,1.002773518,1.001344108,1.004204968,0.007189293,non-melanoma skin cancer,ieu-b-4959,"RP11-178C3.2_T cell, CD4, TH2_non-melanoma skin cancer_ieu-b-4959",0.272412344,0.994385902
RP11-178C3.2_B_CELL_NAIVE,RP11-178C3.2,B,Wald_ratio,1,0.002307205,0.000606268,NA,NA,0.000141467,NA,NA,NA,NA,NA,NA,NA,0.00111892,0.003495489,1.002309868,1.001119547,1.003501605,0.007189293,non-melanoma skin cancer,ieu-b-4959,RP11-178C3.2_B_CELL_NAIVE_non-melanoma skin cancer_ieu-b-4959,0.307065676,0.994385902
"RP11-178C3.2_T cell, CD4, TH1 TH17",RP11-178C3.2,"T cell, CD4, TH1 TH17",Wald_ratio,1,0.00242535,0.000637313,NA,NA,0.000141467,NA,NA,NA,NA,NA,NA,NA,0.001176217,0.003674483,1.002428294,1.001176909,1.003681242,0.007189293,non-melanoma skin cancer,ieu-b-4959,"RP11-178C3.2_T cell, CD4, TH1 TH17_non-melanoma skin cancer_ieu-b-4959",0.308350118,0.994385902
"RP11-178C3.2_T cell, CD4, memory TREG",RP11-178C3.2,"T cell, CD4, memory TREG",Wald_ratio,1,0.003155982,0.000815723,NA,NA,0.000109311,NA,NA,NA,NA,NA,NA,NA,0.001557165,0.0047548,1.003160968,1.001558378,1.004766122,0.00610653,non-melanoma skin cancer,ieu-b-4959,"RP11-178C3.2_T cell, CD4, memory TREG_non-melanoma skin cancer_ieu-b-4959",0.002143011,1
"RP11-178C3.2_T cell, CD4, naive",RP11-178C3.2,"T cell, CD4, naive",Wald_ratio,1,0.002419035,0.000625245,NA,NA,0.000109311,NA,NA,NA,NA,NA,NA,NA,0.001193554,0.003644516,1.002421963,1.001194267,1.003651165,0.00610653,non-melanoma skin cancer,ieu-b-4959,"RP11-178C3.2_T cell, CD4, naive_non-melanoma skin cancer_ieu-b-4959",0.36251845,1
"GTF2A2_Monocyte, non-classical",GTF2A2,"Monocyte, non-classical",Wald_ratio,1,-0.043754938,0.010135325,NA,NA,1.58E-05,NA,NA,NA,NA,NA,NA,NA,-0.063620174,-0.023889702,0.9571885,0.938361346,0.976393399,0.000985023,Prostate cancer,ieu-b-85,"GTF2A2_Monocyte, non-classical_Prostate cancer_ieu-b-85",0.058761658,0.987221088
"LMTK2_T cell, CD4, naive activated",LMTK2,"T cell, CD4, naive activated",Wald_ratio,1,-0.054154356,0.013352107,NA,NA,4.99E-05,NA,NA,NA,NA,NA,NA,NA,-0.080324485,-0.027984226,0.947285876,0.922816857,0.972403705,0.00270204,Prostate cancer,ieu-b-85,"LMTK2_T cell, CD4, naive activated_Prostate cancer_ieu-b-85",0.268308948,1
"TMEM156_NK cell, CD56dim CD16+",TMEM156,"NK cell, CD56dim CD16+",Wald_ratio,1,0.035957268,0.010972254,NA,NA,0.001048761,NA,NA,NA,NA,NA,NA,NA,0.014451649,0.057462886,1.036611549,1.014556579,1.059145961,0.029251768,Prostate cancer,ieu-b-85,"TMEM156_NK cell, CD56dim CD16+_Prostate cancer_ieu-b-85",0.123436123,0.996007992
"DNMT3B_T cell, CD4, naive TREG",DNMT3B,"T cell, CD4, naive TREG",Wald_ratio,1,0.040522668,0.008660517,NA,NA,2.88E-06,NA,NA,NA,NA,NA,NA,NA,0.023548054,0.057497282,1.041354914,1.023827498,1.059182391,0.000243788,Prostate cancer,ieu-b-85,"DNMT3B_T cell, CD4, naive TREG_Prostate cancer_ieu-b-85",0.786826574,1
"RBM23_Monocyte, classical",RBM23,"Monocyte, classical",Wald_ratio,1,-0.03746803,0.010537884,NA,NA,0.000377181,NA,NA,NA,NA,NA,NA,NA,-0.058122282,-0.016813779,0.963225211,0.943534563,0.983326784,0.01291336,Prostate cancer,ieu-b-85,"RBM23_Monocyte, classical_Prostate cancer_ieu-b-85",0.014509027,1
"CTD-2540F13.2_NK cell, CD56dim CD16+",CTD-2540F13.2,"NK cell, CD56dim CD16+",Wald_ratio,1,0.059614824,0.015193411,NA,NA,8.72E-05,NA,NA,NA,NA,NA,NA,NA,0.029835739,0.089393909,1.061427631,1.030285284,1.093511316,0.004317127,Prostate cancer,ieu-b-85,"CTD-2540F13.2_NK cell, CD56dim CD16+_Prostate cancer_ieu-b-85",0.898691098,0.977731373
"RETSAT_Monocyte, classical",RETSAT,"Monocyte, classical",Wald_ratio,1,0.029615242,0.009226287,NA,NA,0.00132792,NA,NA,NA,NA,NA,NA,NA,0.011531719,0.047698764,1.030058134,1.011598466,1.048854655,0.035413528,Prostate cancer,ieu-b-85,"RETSAT_Monocyte, classical_Prostate cancer_ieu-b-85",9.72E-18,0.940246334
RP11-333I13.1_B_CELL_NAIVE,RP11-333I13.1,B,Wald_ratio,1,0.032508289,0.010121629,NA,NA,0.001319224,NA,NA,NA,NA,NA,NA,NA,0.012669897,0.052346681,1.033042456,1.012750501,1.053740991,0.035243445,Prostate cancer,ieu-b-85,RP11-333I13.1_B_CELL_NAIVE_Prostate cancer_ieu-b-85,0.006110928,0.941045506
"ZBTB32_T cell, CD4, TFH",ZBTB32,"T cell, CD4, TFH",Wald_ratio,1,-0.036120592,0.01004763,NA,NA,0.00032447,NA,NA,NA,NA,NA,NA,NA,-0.055813946,-0.016427238,0.964523972,0.945715073,0.983706953,0.011390936,Prostate cancer,ieu-b-85,"ZBTB32_T cell, CD4, TFH_Prostate cancer_ieu-b-85",0.519588217,0.991890508
"TRAF1_T cell, CD4, memory TREG",TRAF1,"T cell, CD4, memory TREG",Wald_ratio,1,0.034894234,0.011084051,NA,NA,0.001643084,NA,NA,NA,NA,NA,NA,NA,0.013169495,0.056618974,1.035510182,1.013256594,1.058252512,0.041489235,Prostate cancer,ieu-b-85,"TRAF1_T cell, CD4, memory TREG_Prostate cancer_ieu-b-85",0.004827252,0.959183226
"CRY1_Monocyte, classical",CRY1,"Monocyte, classical",Wald_ratio,1,-0.03564225,0.010719474,NA,NA,0.000884185,NA,NA,NA,NA,NA,NA,NA,-0.056652418,-0.014632082,0.964985455,0.94492245,0.985474447,0.025649812,Prostate cancer,ieu-b-85,"CRY1_Monocyte, classical_Prostate cancer_ieu-b-85",0.008301656,0.936481998
LAMC1_B_CELL_NAIVE,LAMC1,B,Wald_ratio,1,-0.036963163,0.009297483,NA,NA,7.02E-05,NA,NA,NA,NA,NA,NA,NA,-0.05518623,-0.018740097,0.963711635,0.946308901,0.981434407,0.003679646,Prostate cancer,ieu-b-85,LAMC1_B_CELL_NAIVE_Prostate cancer_ieu-b-85,0.20397678,1
"CASP8_T cell, CD4, TH2",CASP8,"T cell, CD4, TH2",Wald_ratio,1,0.037805458,0.007467745,NA,NA,4.14E-07,NA,NA,NA,NA,NA,NA,NA,0.023168678,0.052442237,1.038529175,1.023439157,1.053841688,5.62E-05,Prostate cancer,ieu-b-85,"CASP8_T cell, CD4, TH2_Prostate cancer_ieu-b-85",0.933361166,0.991516071
"CASP8_Monocyte, classical",CASP8,"Monocyte, classical",Wald_ratio,1,0.034889719,0.006891796,NA,NA,4.14E-07,NA,NA,NA,NA,NA,NA,NA,0.021381798,0.04839764,1.035505506,1.021612027,1.049587931,5.62E-05,Prostate cancer,ieu-b-85,"CASP8_Monocyte, classical_Prostate cancer_ieu-b-85",0.924918494,0.991516071
"CASP8_T cell, CD4, TFH",CASP8,"T cell, CD4, TFH",Wald_ratio,1,0.035291679,0.006971196,NA,NA,4.14E-07,NA,NA,NA,NA,NA,NA,NA,0.021628135,0.048955223,1.035921822,1.021863719,1.050173326,5.62E-05,Prostate cancer,ieu-b-85,"CASP8_T cell, CD4, TFH_Prostate cancer_ieu-b-85",0.956771764,0.991516071
"CASP8_T cell, CD4, TH17",CASP8,"T cell, CD4, TH17",Wald_ratio,1,0.036339663,0.007178205,NA,NA,4.14E-07,NA,NA,NA,NA,NA,NA,NA,0.022270381,0.050408945,1.03700802,1.022520217,1.051701096,5.62E-05,Prostate cancer,ieu-b-85,"CASP8_T cell, CD4, TH17_Prostate cancer_ieu-b-85",0.933211638,0.991516071
CASP8_B_CELL_NAIVE,CASP8,B,Wald_ratio,1,0.050539892,0.009983189,NA,NA,4.14E-07,NA,NA,NA,NA,NA,NA,NA,0.030972843,0.070106942,1.051838823,1.031457492,1.072622883,5.62E-05,Prostate cancer,ieu-b-85,CASP8_B_CELL_NAIVE_Prostate cancer_ieu-b-85,0.208952897,0.991516071
"CASP8_T cell, CD4, naive TREG",CASP8,"T cell, CD4, naive TREG",Wald_ratio,1,0.037419794,0.007391564,NA,NA,4.14E-07,NA,NA,NA,NA,NA,NA,NA,0.022932328,0.05190726,1.038128729,1.023197295,1.053278057,5.62E-05,Prostate cancer,ieu-b-85,"CASP8_T cell, CD4, naive TREG_Prostate cancer_ieu-b-85",0.957093913,0.991516071
"CASP8_T cell, CD4, TH1 TH17",CASP8,"T cell, CD4, TH1 TH17",Wald_ratio,1,0.036809708,0.007271053,NA,NA,4.14E-07,NA,NA,NA,NA,NA,NA,NA,0.022558443,0.051060973,1.037495575,1.022814809,1.052387058,5.62E-05,Prostate cancer,ieu-b-85,"CASP8_T cell, CD4, TH1 TH17_Prostate cancer_ieu-b-85",0.885124118,0.991516071
"CASP8_T cell, CD4, naive",CASP8,"T cell, CD4, naive",Wald_ratio,1,0.036464872,0.007202938,NA,NA,4.14E-07,NA,NA,NA,NA,NA,NA,NA,0.022347114,0.05058263,1.037137871,1.022598681,1.051883777,5.62E-05,Prostate cancer,ieu-b-85,"CASP8_T cell, CD4, naive_Prostate cancer_ieu-b-85",4.96E-05,0.991516071
"CASP8_T cell, CD4, memory TREG",CASP8,"T cell, CD4, memory TREG",Wald_ratio,1,0.035127129,0.006938692,NA,NA,4.14E-07,NA,NA,NA,NA,NA,NA,NA,0.021527292,0.048726966,1.035751374,1.021760676,1.049933644,5.62E-05,Prostate cancer,ieu-b-85,"CASP8_T cell, CD4, memory TREG_Prostate cancer_ieu-b-85",0.961236725,0.991516071
"CASP8_Monocyte, non-classical",CASP8,"Monocyte, non-classical",Wald_ratio,1,0.037335568,0.007186659,NA,NA,2.05E-07,NA,NA,NA,NA,NA,NA,NA,0.023249717,0.051421418,1.038041295,1.023522098,1.052766455,3.31E-05,Prostate cancer,ieu-b-85,"CASP8_Monocyte, non-classical_Prostate cancer_ieu-b-85",0.833234005,1
"CASP8_NK cell, CD56dim CD16+",CASP8,"NK cell, CD56dim CD16+",Wald_ratio,1,0.039647222,0.007631625,NA,NA,2.05E-07,NA,NA,NA,NA,NA,NA,NA,0.024689237,0.054605206,1.040443663,1.02499654,1.056123581,3.31E-05,Prostate cancer,ieu-b-85,"CASP8_NK cell, CD56dim CD16+_Prostate cancer_ieu-b-85",0.957094826,1
"TRAF1_T cell, CD4, TFH",TRAF1,"T cell, CD4, TFH",Wald_ratio,1,0.028981846,0.009356344,NA,NA,0.001951203,NA,NA,NA,NA,NA,NA,NA,0.010643412,0.04732028,1.029405906,1.010700254,1.048457755,0.047762044,Prostate cancer,ieu-b-85,"TRAF1_T cell, CD4, TFH_Prostate cancer_ieu-b-85",0.004182984,0.947599062
"NCAPD2_T cell, CD4, naive TREG",NCAPD2,"T cell, CD4, naive TREG",Wald_ratio,1,-0.030822759,0.009578765,NA,NA,0.00129168,NA,NA,NA,NA,NA,NA,NA,-0.049597139,-0.012048379,0.969647419,0.951612715,0.988023912,0.034568372,Prostate cancer,ieu-b-85,"NCAPD2_T cell, CD4, naive TREG_Prostate cancer_ieu-b-85",0.004462836,0.987080003
"RP1-228P16.1_T cell, CD4, TH1",RP1-228P16.1,"T cell, CD4, TH1",Wald_ratio,1,-0.034839621,0.009867869,NA,NA,0.000414599,NA,NA,NA,NA,NA,NA,NA,-0.054180645,-0.015498597,0.965760292,0.947260973,0.984620889,0.013730545,Prostate cancer,ieu-b-85,"RP1-228P16.1_T cell, CD4, TH1_Prostate cancer_ieu-b-85",0.419299352,0.905289452
